ID,eif3d_NES,eif3d_pvalue,eif3d_qvalue,eif3e_NES,eif3e_pvalue,eif3e_qvalue,delta,direction
RAF_ACTIVATION,1.8011913203192889,0.001319954845102475,0.00675699876384868,1.8978996985111836,0.006767321964250383,0.3079394545609649,0.0967083781918947,up_both
CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,1.8780425530713492,0.001497446100555591,0.0072102146790691294,1.800006212732583,0.019308571414008227,0.33660557402502295,-0.07803634033876605,up_both
SIGNAL_AMPLIFICATION,1.7849169396686706,0.005003627057875004,0.01616076014781441,1.7598862982930268,0.004426664772263028,0.29728548681092754,-0.025030641375643814,up_both
NEGATIVE_REGULATION_OF_THE_PI3K_AKT_NETWORK,1.8328244806861846,5.920703192973764e-4,0.004297509623179699,1.7576170554265527,0.004874777265616001,0.29761798042708215,-0.07520742525963198,up_both
PLATELET_HOMEOSTASIS,1.7069125505679419,0.005819824118015562,0.018259821680972427,1.7493132735937165,0.00985953132396858,0.3174217224093361,0.04240072302577458,up_both
PI3K_AKT_SIGNALING_IN_CANCER,1.8942929280240441,1.3824317987391846e-4,0.0015544798386457706,1.705021460685381,0.011034823427529853,0.3174217224093361,-0.18927146733866307,up_both
RET_SIGNALING,1.6148694518691467,0.019762649413077742,0.04142624332505407,1.682877647436466,0.024527994322883724,0.33660557402502295,0.0680081955673193,up_both
COSTIMULATION_BY_THE_CD28_FAMILY,1.592116919717973,0.012920684276451396,0.03020929218482057,1.675004747006952,0.02604766623505186,0.33660557402502295,0.08288782728897903,up_both
EPHB_MEDIATED_FORWARD_SIGNALING,1.5890529637883846,0.008916043902171033,0.024088960718146295,1.6556302833603975,0.01826135247316051,0.33660557402502295,0.06657731957201296,up_both
RAB_GERANYLGERANYLATION,1.707306036345061,0.004128418837768644,0.014280846348794852,1.6227846065401468,0.02675357747677328,0.33660557402502295,-0.08452142980491417,up_both
THROMBIN_SIGNALLING_THROUGH_PROTEINASE_ACTIVATED_RECEPTORS_PARS,1.924437111075115,0.0010587261886737319,0.00579374371561751,1.6036430136504498,0.010798674085063393,0.3174217224093361,-0.32079409742466525,up_both
SIGNALING_BY_WNT_IN_CANCER,1.8858281277230444,0.0024443585680965162,0.009906084723338513,1.587490426071893,0.04543427643201261,0.36348991178955226,-0.2983377016511515,up_both
IRS_MEDIATED_SIGNALLING,1.6158836122203626,0.02493460112709079,0.0494942458462554,1.5844229358124096,0.04543427643201261,0.36348991178955226,-0.031460676407953025,up_both
DISASSEMBLY_OF_THE_DESTRUCTION_COMPLEX_AND_RECRUITMENT_OF_AXIN_TO_THE_MEMBRANE,1.7606893090893945,0.004553545374615832,0.015167541190140695,1.5680606359193556,0.027459523297987738,0.33660557402502295,-0.19262867317003884,up_both
SPHINGOLIPID_DE_NOVO_BIOSYNTHESIS,1.6936406551907284,0.005296533395633493,0.01694597249849497,1.564409653487413,0.03463344464685359,0.33660557402502295,-0.12923100170331536,up_both
CLASS_B_2_SECRETIN_FAMILY_RECEPTORS,2.062593470356115,1.857061895954266e-4,0.0020069300489611013,1.540470764712695,0.03561558137155531,0.33660557402502295,-0.5221227056434201,up_both
SIGNALING_BY_TYPE_1_INSULIN_LIKE_GROWTH_FACTOR_1_RECEPTOR_IGF1R,1.748099136063419,0.0037543118529465972,0.013524304686638034,1.5239914207723642,0.059561611556259886,0.3772915434654051,-0.2241077152910549,up_both
REGULATION_OF_INSULIN_SECRETION,1.5127321726710987,0.021256654731862914,0.043425966141135176,1.5122302069568843,0.04601769911504425,0.36348991178955226,-5.019657142144585e-4,up_both
INWARDLY_RECTIFYING_K_CHANNELS,1.5970216643421988,0.022285710978794303,0.04460038324541029,1.5122066143313706,0.05474452554744526,0.3715413386233546,-0.08481505001082823,up_both
INSULIN_RECEPTOR_SIGNALLING_CASCADE,1.784654882987976,0.0034425470510792955,0.012874582639385965,1.4963552448301405,0.047957371225577264,0.36348991178955226,-0.28829963815783555,up_both
PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION,1.408707645969199,0.010010433782950717,0.025757841312855644,1.4746109364599513,0.03360992576530731,0.33660557402502295,0.06590329049075239,up_both
LEISHMANIA_INFECTION,1.5672926183978193,0.004097150119969304,0.014280846348794852,1.4491352093986825,0.03338119160732305,0.33660557402502295,-0.11815740899913685,up_both
PHOSPHOLIPID_METABOLISM,1.3373294624167955,0.017249427629985707,0.0369544890565889,1.401341763398209,0.05140691895497055,0.36348991178955226,0.06401230098141353,up_both
SIGNALING_BY_TGFB_FAMILY_MEMBERS,1.5748051205089901,0.007500251376676036,0.021841261494007745,1.3849363544770188,0.07829181494661921,0.3985172837503472,-0.18986876603197134,up_both
SIGNALING_BY_BMP,1.724243088947017,0.008459152455312981,0.02336810136861959,1.350074905475896,0.11397058823529412,0.3985172837503472,-0.374168183471121,up_both
EXTRA_NUCLEAR_ESTROGEN_SIGNALING,1.740183523003301,0.004165468048402501,0.014280846348794852,1.3443605874950126,0.09403254972875226,0.3985172837503472,-0.3958229355082883,up_both
SIGNALING_BY_INSULIN_RECEPTOR,1.4692306329256115,0.0252091963218479,0.049835895167709574,1.3193053479641916,0.11151736745886655,0.3985172837503472,-0.14992528496141988,up_both
SIGNALING_BY_NTRKS,1.686177121410687,0.0012329484554365736,0.006447336575118245,1.3190064316140453,0.1003584229390681,0.3985172837503472,-0.3671706897966418,up_both
ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION,1.7708033498673854,0.002689870089262157,0.010810961124307232,1.3170264004722219,0.10619469026548672,0.3985172837503472,-0.45377694939516355,up_both
SIGNALING_BY_RECEPTOR_TYROSINE_KINASES,1.374160634809952,0.0022870088792636594,0.00960308218306829,1.3106105519775708,0.03158750651830295,0.33660557402502295,-0.06355008283238117,up_both
GLUCAGON_SIGNALING_IN_METABOLIC_REGULATION,1.8299990645647168,0.003161839345167598,0.012301219178673096,1.309577945496153,0.13970588235294118,0.41661552170137706,-0.5204211190685639,up_both
VASOPRESSIN_REGULATES_RENAL_WATER_HOMEOSTASIS_VIA_AQUAPORINS,1.917849159998942,5.320032383071039e-4,0.003920023861210239,1.3091038456891533,0.12432432432432433,0.40938111585228915,-0.6087453143097887,up_both
MYD88_INDEPENDENT_TLR4_CASCADE,1.4793303269976363,0.00949361008281232,0.025228920668733345,1.3053079230496152,0.1111111111111111,0.3985172837503472,-0.17402240394802115,up_both
G_ALPHA_I_SIGNALLING_EVENTS,1.7467393215135794,2.747085698609102e-4,0.002488095780846346,1.3031184939316351,0.09700176366843033,0.3985172837503472,-0.4436208275819442,up_both
GPCR_LIGAND_BINDING,2.0864591058110014,1.111366413999742e-7,3.6979614001180312e-6,1.2947655511167373,0.1012216404886562,0.3985172837503472,-0.7916935546942641,up_both
