ID,eif3d_NES,eif3d_pvalue,eif3d_qvalue,eif3e_NES,eif3e_pvalue,eif3e_qvalue,delta,color,direction
TNFA_SIGNALING_VIA_NFKB,1.1094908677256359,0.21052631578947367,0.5593694380879736,1.7498205513149963,9.670713922131841e-5,0.004071879546160776,0.6403296835893604,black,up_both
HYPOXIA,1.0407459082417492,0.3106060606060606,0.5754385964912281,1.5726288703932623,0.002823087363682414,0.03183249466642818,0.5318829621515131,red,up_both
OXIDATIVE_PHOSPHORYLATION,1.9897076430405698,8.352870092047199e-4,0.03868697726842913,1.450986539589243,0.005183183052774825,0.043647857286524844,-0.5387211034513268,black,up_both
ADIPOGENESIS,1.177178990150906,0.1385390428211587,0.4303036310172796,1.3573498497942589,0.02516929073731896,0.15139422999891103,0.1801708596433529,black,up_both
ESTROGEN_RESPONSE_EARLY,-1.49655416776071,0.008464125007239667,0.19601131595712912,0.9816808787513167,0.47961630695443647,0.5478471703817038,2.478235046512027,black,up_3e_down_3d
APICAL_JUNCTION,-1.4326263504712395,0.024975931132801638,0.287838239666964,0.8001742212387764,0.8962264150943396,0.7861635220125787,2.232800571710016,black,up_3e_down_3d
MYC_TARGETS_V1,1.446156196038464,0.047498642290956315,0.287838239666964,-1.3157446024504618,0.05564924114671164,0.24215823527186045,-2.7619007984889254,black,up_3d_down_3e
PROTEIN_SECRETION,-1.0853912515166522,0.2953020134228188,0.5754385964912281,-1.4605970308263854,0.04691831931044684,0.24215823527186045,-0.3752057793097332,black,down_both
E2F_TARGETS,-0.7985569464804583,0.9159935379644588,0.9026588056088731,-1.5891619571816917,0.003024086993310677,0.03183249466642818,-0.7906050107012335,black,down_both
PI3K_AKT_MTOR_SIGNALING,-1.3771345449886871,0.05593220338983051,0.287838239666964,-1.643741553624435,0.01401762126111669,0.09836927200783643,-0.26660700863574793,black,down_both
G2M_CHECKPOINT,-1.0654484572435183,0.30210016155088854,0.5754385964912281,-1.8175163199690034,2.727262802508675e-4,0.005741605900018263,-0.7520678627254851,black,down_both
